0,-0.014638,-0.101362,-0.380265,-0.635980,-0.017599,-0.037199,-0.031481,-0.018544,-0.051000,-0.015494,-0.021817
1,-0.014370,-0.101362,1.214982,1.096590,-0.017599,-0.001067,0.000521,-0.014889,-0.028809,-0.012816,-0.127829
2,-0.013566,-0.101362,-0.341162,1.131242,-0.017599,-0.029190,-0.014177,0.004099,0.844047,0.007715,-0.120762
3,-0.014638,-0.101362,-0.253379,0.057048,-0.017599,-0.037092,-0.031481,-0.018544,-0.051000,-0.015494,-0.050087
4,-0.014638,-0.101362,0.337157,-0.635980,-0.017599,-0.036380,-0.026085,-0.018544,-0.051000,-0.015494,-0.057155
5,-0.014638,-0.101362,-0.141656,0.750076,-0.017599,-0.036879,-0.031109,-0.018544,-0.051000,-0.015494,-0.127829
6,-0.014638,-0.101362,0.017948,-0.635980,-0.017599,-0.036202,-0.021434,0.100286,-0.051000,0.203207,-0.127829
7,-0.014370,-0.101362,-0.061854,1.962876,-0.017599,0.032323,0.010197,0.012211,-0.051000,0.015749,0.211409
8,-0.014638,-0.101362,-0.333182,2.136133,-0.017599,-0.036701,-0.030737,-0.018544,-0.051000,-0.015494,0.275016
9,0.055613,-0.101362,0.217454,1.962876,-0.017599,0.184148,0.160719,2.106413,2.138536,0.725680,-0.127829
10,-0.014638,-0.101362,-0.281310,1.962876,-0.017599,-0.037199,-0.031481,-0.017118,-0.051000,-0.014066,-0.113695
